date,open,high,low,close,year,month,day,day_name
2005-02-17,1.3046,1.3090000000000002,1.3016,1.307,2005.0,2.0,17.0,Thursday
2005-02-18,1.3071,1.3084,1.3016,1.3052,2005.0,2.0,18.0,Friday
2005-02-21,1.3051,1.3166,1.3048,1.3149,2005.0,2.0,21.0,Monday
2005-02-22,1.3149,1.3276,1.3147,1.3241,2005.0,2.0,22.0,Tuesday
2005-02-23,1.3242,1.3251,1.3186,1.3237,2005.0,2.0,23.0,Wednesday
2005-02-24,1.3236,1.3271,1.3179,1.3208,2005.0,2.0,24.0,Thursday
2005-02-25,1.3207,1.3281,1.3148,1.3263,2005.0,2.0,25.0,Friday
2005-02-28,1.3264,1.3281,1.317,1.3195,2005.0,2.0,28.0,Monday
2005-03-01,1.3196,1.3228,1.3149,1.3169,2005.0,3.0,1.0,Tuesday
2005-03-02,1.317,1.3176,1.3090000000000002,1.3138,2005.0,3.0,2.0,Wednesday
2005-03-03,1.3137,1.3168,1.3098,1.3107,2005.0,3.0,3.0,Thursday
2005-03-04,1.3106,1.3255,1.3090000000000002,1.3234,2005.0,3.0,4.0,Friday
2005-03-07,1.3235,1.3242,1.3181,1.3226,2005.0,3.0,7.0,Monday
2005-03-08,1.3227,1.3363,1.3216,1.3348,2005.0,3.0,8.0,Tuesday
2005-03-09,1.3347,1.3458,1.3333,1.3435,2005.0,3.0,9.0,Wednesday
2005-03-10,1.3434,1.3455,1.3399,1.3427,2005.0,3.0,10.0,Thursday
2005-03-11,1.3426,1.3481,1.3396,1.3453,2005.0,3.0,11.0,Friday
2005-03-14,1.3454,1.3457,1.3337,1.3368,2005.0,3.0,14.0,Monday
2005-03-15,1.3367,1.3412,1.3293,1.3314,2005.0,3.0,15.0,Tuesday
2005-03-16,1.3315,1.344,1.3311,1.3402,2005.0,3.0,16.0,Wednesday
2005-03-17,1.3401,1.3421,1.3344,1.3373,2005.0,3.0,17.0,Thursday
2005-03-18,1.3372,1.3373,1.3253,1.3259,2005.0,3.0,18.0,Friday
2005-03-21,1.3258,1.3276,1.3142,1.3165,2005.0,3.0,21.0,Monday
2005-03-22,1.3166,1.3224,1.3056,1.3084,2005.0,3.0,22.0,Tuesday
2005-03-23,1.3083,1.3088,1.2963,1.2993,2005.0,3.0,23.0,Wednesday
2005-03-24,1.2992,1.3034,1.2931,1.2945,2005.0,3.0,24.0,Thursday
2005-03-25,1.2944,1.2971,1.2888,1.291,2005.0,3.0,25.0,Friday
2005-03-28,1.2911,1.2956,1.2859,1.2937,2005.0,3.0,28.0,Monday
2005-03-29,1.2939,1.2968,1.2899,1.295,2005.0,3.0,29.0,Tuesday
2005-03-30,1.295,1.2985,1.2914,1.2917,2005.0,3.0,30.0,Wednesday
2005-03-31,1.2918,1.3019,1.2915,1.296,2005.0,3.0,31.0,Thursday
2005-04-01,1.2961,1.3058,1.2873,1.2899,2005.0,4.0,1.0,Friday
2005-04-04,1.29,1.2904,1.2818,1.2826,2005.0,4.0,4.0,Monday
2005-04-05,1.2825,1.2887,1.2802,1.2874,2005.0,4.0,5.0,Tuesday
2005-04-06,1.2873,1.2912,1.2843,1.2885,2005.0,4.0,6.0,Wednesday
2005-04-07,1.2886,1.2941,1.2815,1.2824,2005.0,4.0,7.0,Thursday
2005-04-08,1.2823,1.2946,1.2811,1.2928,2005.0,4.0,8.0,Friday
2005-04-11,1.2929,1.3004,1.2921,1.2979,2005.0,4.0,11.0,Monday
2005-04-12,1.298,1.3016,1.2865,1.2913,2005.0,4.0,12.0,Tuesday
2005-04-13,1.2914,1.2957,1.2851,1.2881,2005.0,4.0,13.0,Wednesday
2005-04-14,1.2882,1.2890000000000001,1.2769,1.2807,2005.0,4.0,14.0,Thursday
2005-04-15,1.2805,1.2942,1.2781,1.2890000000000001,2005.0,4.0,15.0,Friday
2005-04-18,1.2889,1.3046,1.2886,1.3018,2005.0,4.0,18.0,Monday
2005-04-19,1.3019,1.3084,1.2984,1.3074,2005.0,4.0,19.0,Tuesday
2005-04-20,1.3073,1.3111,1.2994,1.3097,2005.0,4.0,20.0,Wednesday
2005-04-21,1.3096,1.3125,1.3023,1.3036,2005.0,4.0,21.0,Thursday
